scenario,rank,report_id,label,score,defect_score,judgement_score,TP,FP,FN,partial,uncertain,excluded
beta=2;weights=3-2-1;defects=70,7,R07,QoderIDE / Sonus-session-merge-v2-review,43.6,13.6,30,6,0,31,0,1,17
beta=2;weights=3-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,41.3,11.3,30,5,2,32,0,2,9
beta=2;weights=3-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,33.9,11.4,22.5,5,0,32,0,6,21
beta=2;weights=3-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,29.5,7.0,22.5,3,0,34,0,2,11
beta=2;weights=3-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,29.5,7.0,22.5,3,0,34,0,2,25
beta=2;weights=3-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,27.2,4.7,22.5,2,0,35,0,2,10
beta=2;weights=3-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,27.2,4.7,22.5,2,0,35,0,2,12
beta=2;weights=3-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,24.8,2.3,22.5,1.0,1.0,36.0,1,1,10
beta=2;weights=3-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,37,0,2,10
beta=2;weights=3-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,37,0,2,14
beta=2;weights=3-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,8
beta=2;weights=3-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,52.1,32.1,20,13.0,1.0,24.0,1,7,22
beta=2;weights=3-2-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,52.1,32.1,20,13.0,1.0,24.0,1,7,42
beta=2;weights=3-2-1;defects=80,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,44.0,24.0,20,10.0,9.0,27.0,1,11,53
beta=2;weights=3-2-1;defects=80,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,42.9,22.9,20,9,0,28,0,2,15
beta=2;weights=3-2-1;defects=80,5,R03,KimiCode / KimiK3-session-merge-v2-review,37.9,17.9,20,7,1,30,0,7,26
beta=2;weights=3-2-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,37.8,17.8,20,7.0,2.0,30.0,1,16,40
beta=2;weights=3-2-1;defects=80,7,R07,QoderIDE / Sonus-session-merge-v2-review,35.6,15.6,20,6,0,31,0,1,17
beta=2;weights=3-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,32.9,12.9,20,5,2,32,0,2,9
beta=2;weights=3-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,28.1,13.1,15,5,0,32,0,6,21
beta=2;weights=3-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,22.9,7.9,15,3,0,34,0,2,11
beta=2;weights=3-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,22.9,7.9,15,3,0,34,0,2,25
beta=2;weights=3-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,20.3,5.3,15,2,0,35,0,2,10
beta=2;weights=3-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,20.3,5.3,15,2,0,35,0,2,12
beta=2;weights=3-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,17.7,2.7,15,1.0,1.0,36.0,1,1,10
beta=2;weights=3-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,37,0,2,10
beta=2;weights=3-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,37,0,2,14
beta=2;weights=3-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,37,0,2,8
beta=2;weights=3-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,46.1,36.1,10,13.0,1.0,24.0,1,7,22
beta=2;weights=3-2-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,46.1,36.1,10,13.0,1.0,24.0,1,7,42
beta=2;weights=3-2-1;defects=90,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,36.9,26.9,10,10.0,9.0,27.0,1,11,53
beta=2;weights=3-2-1;defects=90,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,35.8,25.8,10,9,0,28,0,2,15
beta=2;weights=3-2-1;defects=90,5,R03,KimiCode / KimiK3-session-merge-v2-review,30.2,20.2,10,7,1,30,0,7,26
beta=2;weights=3-2-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,30.1,20.1,10,7.0,2.0,30.0,1,16,40
beta=2;weights=3-2-1;defects=90,7,R07,QoderIDE / Sonus-session-merge-v2-review,27.5,17.5,10,6,0,31,0,1,17
beta=2;weights=3-2-1;defects=90,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,24.5,14.5,10,5,2,32,0,2,9
beta=2;weights=3-2-1;defects=90,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,22.2,14.7,7.5,5,0,32,0,6,21
beta=2;weights=3-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,16.4,8.9,7.5,3,0,34,0,2,11
beta=2;weights=3-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,16.4,8.9,7.5,3,0,34,0,2,25
beta=2;weights=3-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,13.5,6.0,7.5,2,0,35,0,2,10
beta=2;weights=3-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,13.5,6.0,7.5,2,0,35,0,2,12
beta=2;weights=3-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,10.5,3.0,7.5,1.0,1.0,36.0,1,1,10
beta=2;weights=3-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,10
beta=2;weights=3-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,37,0,2,14
beta=2;weights=3-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,37,0,2,8
beta=2;weights=2-1-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,57.3,27.3,30,8.5,0.5,16.5,1,7,22
beta=2;weights=2-1-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,57.3,27.3,30,8.5,0.5,16.5,1,7,42
beta=2;weights=2-1-1;defects=70,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,50.3,20.3,30,6.5,5.5,18.5,1,11,53
beta=2;weights=2-1-1;defects=70,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,49.8,19.8,30,6,0,19,0,2,15
beta=2;weights=2-1-1;defects=70,5,R03,KimiCode / KimiK3-session-merge-v2-review,46.5,16.5,30,5,1,20,0,7,26
beta=2;weights=2-1-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,44.9,14.9,30,4.5,1.5,20.5,1,16,40
beta=2;weights=2-1-1;defects=70,7,R07,QoderIDE / Sonus-session-merge-v2-review,43.5,13.5,30,4,0,21,0,1,17
beta=2;weights=2-1-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,40.1,10.1,30,3,1,22,0,2,9
beta=2;weights=2-1-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,36.0,13.5,22.5,4,0,21,0,6,21
beta=2;weights=2-1-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,29.4,6.9,22.5,2,0,23,0,2,11
beta=2;weights=2-1-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,29.4,6.9,22.5,2,0,23,0,2,25
beta=2;weights=2-1-1;defects=70,10,R16,小米mimo / session-merge-v2-code-review,29.4,6.9,22.5,2,0,23,0,2,12
beta=2;weights=2-1-1;defects=70,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,26.0,3.5,22.5,1,0,24,0,2,10
beta=2;weights=2-1-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,24.2,1.7,22.5,0.5,0.5,24.5,1,1,10
beta=2;weights=2-1-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,25,0,2,10
beta=2;weights=2-1-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,25,0,2,14
beta=2;weights=2-1-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,8
beta=2;weights=2-1-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,51.2,31.2,20,8.5,0.5,16.5,1,7,22
beta=2;weights=2-1-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,51.2,31.2,20,8.5,0.5,16.5,1,7,42
beta=2;weights=2-1-1;defects=80,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,43.2,23.2,20,6.5,5.5,18.5,1,11,53
beta=2;weights=2-1-1;defects=80,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,42.6,22.6,20,6,0,19,0,2,15
beta=2;weights=2-1-1;defects=80,5,R03,KimiCode / KimiK3-session-merge-v2-review,38.9,18.9,20,5,1,20,0,7,26
beta=2;weights=2-1-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,37.0,17.0,20,4.5,1.5,20.5,1,16,40
beta=2;weights=2-1-1;defects=80,7,R07,QoderIDE / Sonus-session-merge-v2-review,35.4,15.4,20,4,0,21,0,1,17
beta=2;weights=2-1-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,31.5,11.5,20,3,1,22,0,2,9
beta=2;weights=2-1-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,30.4,15.4,15,4,0,21,0,6,21
beta=2;weights=2-1-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,22.8,7.8,15,2,0,23,0,2,11
beta=2;weights=2-1-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,22.8,7.8,15,2,0,23,0,2,25
beta=2;weights=2-1-1;defects=80,10,R16,小米mimo / session-merge-v2-code-review,22.8,7.8,15,2,0,23,0,2,12
beta=2;weights=2-1-1;defects=80,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,19.0,4.0,15,1,0,24,0,2,10
beta=2;weights=2-1-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,17.0,2.0,15,0.5,0.5,24.5,1,1,10
beta=2;weights=2-1-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,25,0,2,10
beta=2;weights=2-1-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,25,0,2,14
beta=2;weights=2-1-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,25,0,2,8
beta=2;weights=2-1-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,45.1,35.1,10,8.5,0.5,16.5,1,7,22
beta=2;weights=2-1-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,45.1,35.1,10,8.5,0.5,16.5,1,7,42
beta=2;weights=2-1-1;defects=90,3,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,36.1,26.1,10,6.5,5.5,18.5,1,11,53
beta=2;weights=2-1-1;defects=90,4,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,35.5,25.5,10,6,0,19,0,2,15
beta=2;weights=2-1-1;defects=90,5,R03,KimiCode / KimiK3-session-merge-v2-review,31.2,21.2,10,5,1,20,0,7,26
beta=2;weights=2-1-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,29.1,19.1,10,4.5,1.5,20.5,1,16,40
beta=2;weights=2-1-1;defects=90,7,R07,QoderIDE / Sonus-session-merge-v2-review,27.3,17.3,10,4,0,21,0,1,17
beta=2;weights=2-1-1;defects=90,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,24.8,17.3,7.5,4,0,21,0,6,21
beta=2;weights=2-1-1;defects=90,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,23.0,13.0,10,3,1,22,0,2,9
beta=2;weights=2-1-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,16.3,8.8,7.5,2,0,23,0,2,11
beta=2;weights=2-1-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,16.3,8.8,7.5,2,0,23,0,2,25
beta=2;weights=2-1-1;defects=90,10,R16,小米mimo / session-merge-v2-code-review,16.3,8.8,7.5,2,0,23,0,2,12
beta=2;weights=2-1-1;defects=90,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,12.0,4.5,7.5,1,0,24,0,2,10
beta=2;weights=2-1-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,9.7,2.2,7.5,0.5,0.5,24.5,1,1,10
beta=2;weights=2-1-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,10
beta=2;weights=2-1-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,25,0,2,14
beta=2;weights=2-1-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,25,0,2,8
